Rooms,Car,Regionlabel,Suburb_Target_Price,Council_Area_Encoded,Type_Encoded,Method_Encoded,Bedroom-to-bathroom Ratio,Land-to-building Ratio,Age of Building,Distance_Category,Age of Building Log
2,0.0,2,1062832.4918295566,29.0,0.0,1.0,2.0,0.5064102564102564,124.0,Near,4.820281565605037
3,0.0,2,1062832.4918295566,29.0,0.0,3.0,1.5,1.1194029850746268,124.0,Near,4.820281565605037
2,1.0,2,1062832.4918295566,29.0,0.0,1.0,2.0,0.4866666666666667,39.0,Near,3.6635616461296463
4,2.0,2,1062832.4918295566,29.0,0.0,0.0,2.0,0.17307692307692307,124.0,Near,4.820281565605037
3,1.0,6,806655.7551555892,21.0,0.0,1.0,2.0,0.4,44.0,Medium,3.784189633918261
2,1.0,6,806655.7551555892,21.0,2.0,4.0,2.0,0.5119047619047619,13.0,Medium,2.5649493574615367
6,2.0,6,806655.7551555892,21.0,0.0,3.0,2.0,0.19057377049180327,44.0,Medium,3.784189633918261
2,1.0,6,806655.7551555892,21.0,1.0,1.0,2.0,0.8181818181818182,9.0,Medium,2.1972245773362196
2,1.0,6,806655.7551555892,21.0,2.0,1.0,2.0,0.5177304964539007,11.0,Medium,2.3978952727983707
2,1.0,6,806655.7551555892,21.0,2.0,1.0,2.0,0.7833333333333333,12.0,Medium,2.4849066497880004
3,6.0,6,806655.7551555892,21.0,0.0,0.0,3.0,0.1251175917215428,49.0,Medium,3.8918202981106265
3,1.0,6,806655.7551555892,21.0,0.0,1.0,3.0,inf,74.0,Medium,4.30406509320417
3,1.0,6,806655.7551555892,21.0,2.0,1.0,3.0,0.49056603773584906,31.0,Medium,3.4339872044851463
3,2.0,6,806655.7551555892,21.0,1.0,0.0,1.5,0.806060606060606,15.0,Medium,2.70805020110221
3,2.0,6,806655.7551555892,21.0,0.0,1.0,3.0,0.11637487126673532,64.0,Medium,4.1588830833596715
2,1.0,6,806655.7551555892,21.0,0.0,1.0,2.0,0.16339869281045752,49.0,Medium,3.8918202981106265
3,5.0,6,806655.7551555892,21.0,0.0,1.0,1.5,0.28431372549019607,74.0,Medium,4.30406509320417
4,4.0,6,806655.7551555892,21.0,0.0,1.0,1.6666666666666667,0.5819209039548022,44.0,Medium,3.784189633918261
3,2.0,6,806655.7551555892,21.0,0.0,0.0,1.0,0.34594594594594597,44.0,Medium,3.784189633918261
3,2.0,6,806655.7551555892,21.0,0.0,1.0,1.5,0.2985781990521327,29.0,Medium,3.367295829986474
3,1.0,6,806655.7551555892,21.0,1.0,3.0,1.0,0.6273291925465838,14.0,Medium,2.6390573296152584
3,1.0,6,806655.7551555892,21.0,1.0,3.0,1.5,0.34812286689419797,64.0,Medium,4.1588830833596715
3,1.0,6,806655.7551555892,21.0,0.0,1.0,3.0,0.19516407599309155,49.0,Medium,3.8918202981106265
4,3.0,6,806655.7551555892,21.0,0.0,1.0,2.0,0.23248407643312102,49.0,Medium,3.8918202981106265
2,0.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.6833333333333333,124.0,Near,4.820281565605037
3,0.0,5,1653616.4284064467,24.0,0.0,0.0,1.5,0.9383886255924171,134.0,Near,4.897839799950911
3,0.0,5,1653616.4284064467,24.0,0.0,1.0,1.5,1.0390625,134.0,Near,4.897839799950911
2,0.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.6230769230769231,124.0,Near,4.820281565605037
4,1.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,1.1764705882352942,144.0,Near,4.969813299576001
3,1.0,5,1653616.4284064467,24.0,0.0,4.0,1.5,1.2045454545454546,28.0,Near,3.332204510175204
2,1.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.5376884422110553,124.0,Near,4.820281565605037
3,1.0,5,1653616.4284064467,24.0,0.0,1.0,1.5,1.3555555555555556,124.0,Near,4.820281565605037
3,1.0,5,1653616.4284064467,24.0,0.0,1.0,1.5,1.0225988700564972,144.0,Near,4.969813299576001
3,2.0,5,1653616.4284064467,24.0,0.0,1.0,1.5,inf,24.0,Near,3.1780538303479458
2,0.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.6577181208053692,134.0,Near,4.897839799950911
2,0.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.5886524822695035,134.0,Near,4.897839799950911
3,1.0,5,1653616.4284064467,24.0,0.0,4.0,1.5,0.6966824644549763,124.0,Near,4.820281565605037
3,0.0,5,1653616.4284064467,24.0,0.0,1.0,1.5,0.9931972789115646,134.0,Near,4.897839799950911
4,1.0,5,1653616.4284064467,24.0,0.0,4.0,1.3333333333333333,0.7767584097859327,114.0,Near,4.736198448394496
3,1.0,5,1653616.4284064467,24.0,0.0,3.0,2.0,1.025,124.0,Near,4.820281565605037
3,1.0,5,1653616.4284064467,24.0,0.0,0.0,3.0,0.5504201680672269,134.0,Near,4.897839799950911
1,0.0,5,1653616.4284064467,24.0,2.0,1.0,1.0,inf,54.0,Near,3.9889840465642745
4,1.0,5,1653616.4284064467,24.0,0.0,1.0,2.0,0.6272727272727273,114.0,Near,4.736198448394496
