Suburb,Rooms,Type,Price,Method,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Regionname
Abbotsford,2,h,1480000,S,03-12-2016,2.5,3067,2,1,1,202,,,Yarra,Northern Metropolitan
Abbotsford,2,h,1035000,S,04-02-2016,2.5,3067,2,1,0,156,79,1900,Yarra,Northern Metropolitan
Abbotsford,3,h,1465000,SP,04-03-2017,2.5,3067,3,2,0,134,150,1900,Yarra,Northern Metropolitan
Abbotsford,2,h,890000,S,17-09-2016,2.5,3067,2,1,1,150,73,1985,Yarra,Northern Metropolitan
Abbotsford,4,h,1330000,PI,18-03-2017,2.5,3067,4,2,2,780,135,1900,Yarra,Northern Metropolitan
Airport West,3,h,600000,S,04-03-2017,13.5,3042,2,1,1,290,116,1980,Moonee Valley,Western Metropolitan
Airport West,2,u,500000,VB,04-03-2017,13.5,3042,2,1,1,168,86,2011,Moonee Valley,Western Metropolitan
Airport West,3,h,720000,S,06-08-2016,13.5,3042,2,1,1,620,,,Moonee Valley,Western Metropolitan
Airport West,4,h,785000,S,06-08-2016,13.5,3042,3,1,2,597,127,,Moonee Valley,Western Metropolitan
Airport West,6,h,725000,SP,07-05-2016,13.5,3042,6,3,2,976,186,1980,Moonee Valley,Western Metropolitan
Airport West,2,t,450000,S,07-05-2016,13.5,3042,2,1,1,110,90,2015,Moonee Valley,Western Metropolitan
Airport West,2,u,515000,S,07-11-2016,13.5,3042,2,1,1,141,73,2013,Moonee Valley,Western Metropolitan
Airport West,2,u,530000,S,10-09-2016,13.5,3042,2,1,1,120,94,2012,Moonee Valley,Western Metropolitan
Airport West,3,h,895000,PI,10-09-2016,13.5,3042,3,1,6,1063,133,1975,Moonee Valley,Western Metropolitan
Airport West,3,h,805000,S,10-12-2016,13.5,3042,3,1,1,0,105,1950,Moonee Valley,Western Metropolitan
Airport West,3,u,752000,S,11-02-2017,13.5,3042,3,1,1,265,130,1993,Moonee Valley,Western Metropolitan
Airport West,2,u,440000,S,13-08-2016,13.5,3042,2,1,1,192,,,Moonee Valley,Western Metropolitan
Airport West,5,h,755000,PI,14-05-2016,13.5,3042,3,2,2,596,,,Moonee Valley,Western Metropolitan
Airport West,3,t,700000,PI,15-10-2016,13.5,3042,3,2,2,165,133,2009,Moonee Valley,Western Metropolitan
Airport West,3,h,830000,S,16-04-2016,13.5,3042,3,1,2,971,113,1960,Moonee Valley,Western Metropolitan
Airport West,2,u,462500,S,16-07-2016,13.5,3042,2,1,1,164,,2003,Moonee Valley,Western Metropolitan
